Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Pertes,Variation de stock,Population
République dominicaine,10.88,375000000.0,6000000.0,42000000.0,0.0,0.0,10627141.0
République démocratique populaire lao,3.59,0.0,0.0,0.0,0.0,0.0,7061507.0
République populaire démocratique de Corée,0.49,43000000.0,0.0,0.0,1000000.0,0.0,25549604.0
République-Unie de Tanzanie,0.63,108000000.0,0.0,2000000.0,5000000.0,0.0,56313438.0
Saint-Kitts-et-Nevis,19.22,4000000.0,0.0,4000000.0,0.0,0.0,52441.0
Sainte-Lucie,19.0,11000000.0,0.0,10000000.0,0.0,0.0,181889.0
Samoa,21.88,15000000.0,0.0,17000000.0,0.0,2000000.0,196129.0
Sao Tomé-et-Principe,3.21,2000000.0,0.0,2000000.0,0.0,1000000.0,211028.0
Serbie,3.5,90000000.0,7000000.0,12000000.0,0.0,0.0,8802754.0
Sierra Leone,1.24,30000000.0,0.0,14000000.0,1000000.0,0.0,7650150.0
Slovaquie,4.74,74000000.0,35000000.0,63000000.0,0.0,26000000.0,5453014.0
Slovénie,8.72,52000000.0,29000000.0,20000000.0,0.0,11000000.0,2077837.0
Soudan,0.54,69000000.0,0.0,2000000.0,3000000.0,0.0,41801533.0
Sri Lanka,2.64,192000000.0,2000000.0,0.0,10000000.0,-1000000.0,21228763.0
Suisse,6.49,133000000.0,4000000.0,51000000.0,0.0,5000000.0,8525611.0
Suriname,9.27,25000000.0,5000000.0,18000000.0,0.0,-2000000.0,575990.0
Suède,7.09,187000000.0,23000000.0,84000000.0,0.0,31000000.0,9971638.0
Sénégal,1.61,77000000.0,0.0,0.0,4000000.0,0.0,15854323.0
Tadjikistan,1.45,40000000.0,0.0,38000000.0,0.0,0.0,9100835.0
Tchad,0.15,7000000.0,0.0,1000000.0,0.0,0.0,15477729.0
Tchéquie,7.5,249000000.0,27000000.0,116000000.0,0.0,3000000.0,10665677.0
Thaïlande,4.35,881000000.0,796000000.0,2000000.0,32000000.0,1000000.0,69428453.0
Timor-Leste,1.46,5000000.0,0.0,11000000.0,0.0,7000000.0,1267974.0
Togo,2.39,54000000.0,0.0,16000000.0,0.0,1000000.0,7889093.0
Trinité-et-Tobago,16.63,76000000.0,0.0,23000000.0,0.0,8000000.0,1389843.0
Tunisie,6.28,195000000.0,4000000.0,0.0,0.0,15000000.0,11565201.0
Turkménistan,1.53,27000000.0,0.0,9000000.0,1000000.0,2000000.0,5850901.0
Turquie,6.99,1674000000.0,429000000.0,3000000.0,0.0,92000000.0,82340088.0
Ukraine,7.58,1009000000.0,273000000.0,121000000.0,0.0,49000000.0,44246156.0
Uruguay,2.97,33000000.0,3000000.0,3000000.0,0.0,0.0,3449285.0
Vanuatu,4.05,3000000.0,0.0,4000000.0,0.0,1000000.0,292680.0
